year, genre 
2006,House music
2006,Pop music
2006,Pop-folk
2006,Dance music
1995,Schlager music
1992,Pop music
1992,Traditional pop music
1992,Latin pop
1992,Opera
1992,Vocal music
1992,Easy listening
1992,Crossover music
1992,Operatic pop
2007,Folk music
2007,Post-rock
2007,Indie rock
1990,Pop music
1990,Rock music
1990,Celtic music
2000,Folk rock
2009,Pop music
2009,Soul music
2009,Gospel music
2009,Contemporary R&B
1994,Alternative metal
1994,Gothic metal
1992,Pop music
1992,Jazz
2011,Contemporary Christian music
2011,Gospel music
2011,Contemporary worship music
1998,Contemporary R&B
1998,Latin pop
1989,Soul music
1989,Contemporary R&B
1989,Electronic dance music
1989,Adult contemporary music
2008,Folk music
2008,Jazz
2007,Dance-pop
2007,Eurodance
2007,Dance music
1999,Pop music
1979,Latin pop
1979,Jazz
1972,Disco
1963,Folk music
1963,Pop music
1963,Choir
1963,Classical music
1987,Pop music
1987,Rhythm and blues
1987,Hip hop music
1988,Black metal
1988,Death metal
1988,Progressive metal
2000,Heavy metal music
2000,Progressive rock
2009,Folk music
1991,Black metal
1991,Death metal
1991,Progressive rock
1991,Progressive metal
1991,Folk metal
1991,Thrash metal
1991,Melodic death metal
1991,Avant-garde metal
1997,Pop music
1997,Rock music
2002,Rock music
2002,Folk rock
2002,Blues rock
2002,Pop rock
1981,Progressive rock
1981,Progressive metal
1996,Europop
1996,Nu-disco
2004,Pop music
2004,Acoustic music
2010,Big band
2010,Traditional pop music
2010,Jazz
1994,Pop music
1994,Dance music
2008,Heavy metal music
2008,Rock music
2008,Metalcore
1988,Punk rock
1988,Hardcore punk
1988,Horror punk
1988,Folk punk
1988,Art punk
1989,Ambient music
1989,Gothic rock
1989,Electronic music
1980,Pop music
1980,Rock music
1980,Rhythm and blues
1980,Latin alternative
1960,Electric blues
1960,Texas blues
1960,Soul blues
2012,Soul music
2012,Contemporary R&B
2008,Crossover music
2008,Singer-Songwriter
1996,Indie rock
1996,Folk rock
1996,Baroque pop
1996,Indie folk
1991,Blues
1991,Country music
1991,Folk music
1991,Punk rock
1991,Folk rock
1991,Avant-garde jazz
1991,Jazz
1991,Experimental music
1999,Country music
1999,Contemporary Christian music
1982,Rock music
1984,Punk rock
1984,Alternative rock
2003,Hip hop music
2003,Electronic music
1995,Alternative rock
1995,Folk rock
1991,Rhythm and blues
1972,Country rock
1985,Pinoy hip hop
1985,Pop-rap
2008,Pop rock
2010,Pop music
2010,Contemporary R&B
1978,Folk music
1978,Ambient music
1978,Instrumental
1978,Psychedelic music
1968,Pop music
1968,Soft rock
1968,Pop rock
2006,Pop music
2006,Alternative rock
2006,Pop punk
2006,Dance-pop
2006,Pop rock
2009,Folk music
2009,Folk rock
2009,Americana (music)
1992,Black metal
1992,Death metal
2000,Alternative rock
2000,Experimental rock
2000,Electronic music
2000,Singer-songwriter
1916,Country music
1916,Folk music
1916,Gospel music
2008,Crossover music
1964,Symphonic rock
1964,Progressive rock
1964,Canterbury scene
1998,Pop music
1998,Synthpop
1998,Electronic music
1998,Electronic dance music
1998,Indie rock
1998,Alternative rock
1998,Pop punk
2002,Metalcore
2002,Symphonic metal
2002,Deathcore
1955,Chicago blues
1955,Electric blues
1955,Soul blues
1996,Blues
1996,Country music
1996,Folk music
1996,Rock music
1996,Bluegrass music
1996,Christian rock
1996,Contemporary Christian music
1996,Folk rock
1996,Roots rock
1996,Christian country music
2008,Country music
1982,Pop music
1982,Rock music
2004,Pop rock
2004,Acoustic music
1987,Pop rock
1987,Contemporary R&B
1996,Nu metal
1996,Christian metal
1996,Metalcore
2001,Folk rock
2001,Alternative country
2001,Indie folk
1991,Indie rock
2000,Heavy metal music
2000,Hard rock
2000,Neo-psychedelia
2000,Stoner rock
1990,Blues
1990,Soul music
1990,Pop rock
1940,Electric blues
1996,Boy band
1996,Pop music
1996,Adult contemporary music
1991,Doom metal
1991,Christian metal
2002,Psychedelic rock
2002,Progressive rock
2002,Synthpop
2002,Indie pop
2002,Neo-psychedelia
1988,Trip hop
1988,Electronica
1998,Punk rock
1998,Hard rock
1998,Alternative rock
1998,Pop punk
1998,Alternative metal
1998,Experimental music
1998,Party-metal
2007,Alternative rock
2007,Psychedelic music
1980,Glam rock
1980,Grunge
1980,Alternative rock
2003,Folk music
2003,Pop music
2003,Country pop
2003,Acoustic music
1998,Pop music
1998,Indie pop
1997,Pop music
