year, genre 
1970,Rhythm and blues
1970,Gospel music
2004,Country music
2004,Rock music
2004,Country rock
2004,Alternative country
1959,Rhythm and blues
2014,Indie rock
2014,Alternative rock
2014,Acoustic music
1990,Soul music
1990,Contemporary R&B
1976,Reggae
1976,Dancehall
1976,Ragga jungle
1976,Reggae fusion
1977,Post-rock
1977,Electronica
1977,Alternative rock
1977,Acid jazz
1977,Soul jazz
1977,Lounge music
1977,Post-punk
1976,Funk
1976,New wave music
1976,Art rock
1976,Experimental music
1960,Reggae
1980,Reggae
1980,Lovers rock
1967,Country music
2004,Reggae
1988,A cappella
1988,Classical music
1999,Heavy metal music
1999,Punk rock
1999,Noise music
1999,Alternative metal
1999,Avant-garde metal
1999,Vocal music
1999,Experimental music
1967,Heavy metal music
1967,Pop music
1967,Rock music
1964,Pop music
1964,Soft rock
1964,Easy listening
1965,Psychedelic rock
1965,Acid rock
1956,Jazz
1964,Pop music
1964,Rock music
1964,Baroque pop
1958,Rock and roll
1981,Psychedelic rock
1981,Indie rock
1981,Alternative rock
1963,Disco
1963,Funk
1963,Rhythm and blues
1963,Soul music
1994,Contemporary Christian music
2002,Blues
2002,World music
2002,Progressive rock
2002,Jazz fusion
2002,Jazz
2002,Root
1978,Reggae rock
1978,Aboriginal rock
1993,Heavy metal music
1993,Thrash metal
1993,Melodic death metal
1995,Folk music
1995,Slowcore
1995,Independent music
2004,Hard rock
2004,Folk rock
2004,Anatolian rock
1958,Psychedelic rock
1958,Folk rock
1958,Anatolian rock
1958,Pop rock
2010,Hip hop music
1950,Exotica
1950,Space age pop
1950,Jazz
1950,Easy listening
1950,Jewish music
1950,Avant-garde music
1917,Hindustani classical music
2004,Arabic
1930,Country music
1930,Old-time music
1960,Ghazal
1960,Playback singer
2004,Grime music
2004,Hip hop music
2004,Folk music
1975,Reggae
2008,Pop music
1993,Heavy metal music
1993,Progressive metal
1993,Hard rock
2001,Pop music
2001,Trance music
2001,Electro (music)
2001,Eurodance
2001,Techno
2001,Electronic dance music
1991,Trance music
1991,Ambient music
1991,Electronica
1991,Lounge music
1991,New-age music
2012,Pinoy hip hop
2012,Alternative hip hop
1980,Eulogy
1997,Gangsta rap
1997,Hip hop music
2011,Pop music
2006,Synthpop
2006,Dream pop
2006,Folktronica
2006,Indie pop
2006,Baroque pop
2001,Pop music
2001,Rock music
1995,Pop music
1995,Music of the Philippines
1983,Blues
1983,Rock music
1983,World music
1983,Southern rock
1983,Blue-eyed soul
1984,Rhythm and blues
1984,Gospel music
1930,Rhythm and blues
1930,Jazz
2012,Pop rock
1994,Hip hop music
1996,Underground hip hop
1993,Nu jazz
1993,Jazz
1993,Independent music
2010,Folk music
2010,Rock music
2007,Pop music
2007,Schlager music
2012,Pop music
2012,Alternative rock
2012,Indie pop
2012,Dance music
1969,Folk music
1969,Psychedelic folk
1969,Singer-songwriter
2006,Metalcore
2006,Post-hardcore
2006,Electronic rock
1997,Rock music
2015,Pop music
2015,Hip hop music
2010,Pop music
2010,Rhythm and blues
2010,Hip hop music
1982,Gospel music
1958,Music of Assam
2004,Latin pop
2010,Pop music
2010,Electronic dance music
1980,Samba
1980,Bossa nova
1980,Downtempo
1980,Chill-out music
1980,Latin pop
1980,Música popular brasileira
1970,Pop music
1970,Rock music
1970,Soul music
1970,Synthpop
1970,Jazz
1970,Dance music
1995,Pop music
1995,Rock music
1995,Contemporary Christian music
2002,Pop music
2002,Contemporary Christian music
2007,African popular music
2000,Pop music
2000,Rock music
2014,Contemporary Christian music
2014,Contemporary worship music
1986,Country music
1985,Alternative rock
1985,Anti-folk
2005,Contemporary Christian music
2005,Christian hip hop
2005,Contemporary worship music
2005,Contemporary R&B
2005,Urban contemporary gospel
2005,Electronic dance music
2008,Pop music
2008,J-pop
2012,House music
2012,Pop music
2012,Dance music
1971,Country music
2004,Folk music
2004,Punk rock
2004,Indie rock
2006,Indie pop
2004,Electropop
1964,Folk rock
1964,Soft rock
1964,Pop rock
2007,Hip hop music
1987,Punk rock
1987,Thrash metal
1987,Shock rock
2004,Nerdcore
1979,Ragga
1979,Reggae
1979,Dancehall
1979,Reggae fusion
2009,Korean hip hop
2009,Hip hop music
1929,Ghazal
1929,Thumri
1929,Dadra
1971,World music
2011,Rhythm and blues
2011,Hip hop music
1978,Punk rock
1973,Country music
1973,Pop music
1973,Rock music
2010,Electronic music
1977,New wave music
1977,Pop rock
1977,Adult contemporary music
2004,Folk music
2004,Singer-songwriter
2004,Folk baroque
1995,Smooth jazz
1995,Contemporary R&B
1995,Latin pop
1995,Adult contemporary music
2011,Pop music
2012,Soft rock
2012,Indie pop
2014,Pop music
1904,Jazz
1904,Vaudeville
1904,Old-time radio
2001,Hip hop music
1995,Hip hop music
2002,Pop rock
2002,Latin pop
2002,Rock en español
2002,Pop music
2010,Contemporary R&B
2010,K-pop
1999,Pop music
1999,Rock music
2001,Indie rock
2001,Southern rock
2001,Alternative country
2014,Country music
2014,Southern rock
2005,Alternative rock
2006,Hard rock
2006,Metalcore
2005,Contemporary Christian music
2005,Contemporary worship music
2006,Folk music
1996,Psychedelic rock
1996,Indie rock
1996,Psychedelic folk
0018,Ambient music
0018,Alternative rock
0018,Folktronica
2010,Instrumental
1986,Rock music
1986,Alternative rock
1958,Pop music
1958,Rhythm and blues
1958,Soul music
1958,Doo-wop
1993,Rock music
1993,Electronica
1993,Alternative rock
1993,Hip hop music
1988,Rock music
1988,Power pop
1998,Alternative rock
1994,Synthpop
1994,Indie rock
1994,Alternative rock
1999,Blues
1999,Soul music
1999,Christian rock
1999,Contemporary Christian music
1999,Folk rock
1999,Soft rock
1999,Blue-eyed soul
1999,Roots rock
2000,Acoustic music
2014,Pop music
2014,Rock music
1992,Reggae
1992,Soul music
1992,Gospel music
1992,Alternative rock
1992,Folk rock
1992,Blues rock
1992,Neofolk
1992,Funk rock
1992,Jam band
2008,Folk music
2008,Rock music
2004,Pop rock
1995,Rock music
1995,Progressive rock
2001,Pop music
2001,Indie pop
1994,Alternative rock
1994,Alternative hip hop
1999,Industrial rock
1999,Industrial metal
1999,Electronic music
1999,Film score
1999,Video game music
1993,Indie rock
1993,Indie folk
2002,Folk music
2002,Rock music
2002,Americana (music)
1993,Indie pop
2007,Folk rock
2007,Indie folk
2004,Pop music
2004,Rhythm and blues
2002,Folk music
2002,Folk punk
2009,Singer-songwriter
1995,Nu metal
1995,Alternative rock
1995,Alternative metal
1995,Gothic metal
1996,Drum and bass
1996,Rock music
1996,Electronica
1996,Darkstep
1996,Dubstep
2002,Folk music
2002,Pop-folk
2002,Acoustic music
2006,Pop rock
1999,Indie pop
2002,Hip hop music
2008,Folk music
2008,Christian rock
2008,Contemporary Christian music
2008,Folk rock
2008,Pop rock
1995,Folk music
1995,Funk
1995,Folk rock
1995,Soft rock
2004,Human voice
2004,Easy listening
2004,Classical music
2004,Operatic pop
2009,Human voice
1980,Rock music
1980,American folk music
1986,Punk rock
1986,Pop punk
1999,Americana (music)
1999,Experimental music
2006,House music
2006,Electronica
2006,Jazz
1975,Folk rock
1975,Jewish rock music
2004,Pop music
2004,Soul music
2004,Underground hip hop
2001,Rock music
2001,Americana (music)
2006,Electronica
2003,Gospel music
2004,Gospel music
2004,Traditional black gospel
2004,Urban contemporary gospel
1967,Classical music
1967,Basque music
2009,Reggae
2009,Christian rock
2009,Contemporary Christian music
2009,Christian hip hop
2009,Contemporary worship music
2009,Dubstep
2009,Urban contemporary gospel
1995,Ambient music
1995,Industrial music
1995,Electronic music
2012,Garage rock
2012,Blues rock
1998,House music
2010,Folk rock
2010,Acoustic music
2002,New wave music
2002,Psychedelic rock
2002,Art rock
2002,Synthpop
2002,Alternative rock
1989,Folk music
1989,Sevdalinka
1965,New wave music
1970,Punk rock
1970,Indie rock
1993,Power metal
2000,Electronica
2000,Alternative rock
2000,Indie pop
2000,Hip hop music
2000,Film score
2000,Experimental music
1998,Rock music
1998,Pop rock
1993,Nu metal
1993,Reggae
1993,Alternative metal
1988,New wave music
1988,Punk rock
2005,American Pop
2011,Pop music
1956,Country music
2006,Indian pop
2006,Playback singer
1998,Contemporary Jewish religious music
1964,Country rock
1964,Folk rock
1962,Soul music
1965,Pop music
1965,Rock music
1965,Contemporary Christian music
1965,Classical music
1981,Alternative rock
1981,Latin pop
1981,Mexican pop music
1950,Rockabilly
1978,Soft rock
1978,Blue-eyed soul
1940,Country music
1944,Mambo (music)
1944,Bolero
1944,Son montuno
1944,Guaracha
1999,Pop music
2009,Indie folk
2001,Folk music
2001,Ambient music
2001,Shoegazing
2001,Electronic music
1981,Progressive rock
1981,Pop rock
1997,Pop music
1997,Rock music
1994,Pop music
2005,Pop music
1983,Hip hop music
1989,Folk music
1989,Bluegrass music
1972,Reggae
1982,Arabesque (Turkish music)
1975,Religious music
1993,Pop music
1993,Rock music
1993,World music
2001,Jazz
2001,Americana (music)
2009,Blues
2009,Country music
2009,Folk music
2009,Roots reggae
1980,Blues
1980,Electric blues
1980,Blues rock
1984,Gospel music
1984,New jack swing
1984,Contemporary R&B
1989,Britpop
1989,Alternative rock
1989,Blues
1989,Folk music
1989,Alternative rock
1974,Blues
1974,Funk
1974,Rock and roll
1974,Rock music
1974,Reggae
1974,Rhythm and blues
1974,Country rock
1974,Gospel music
1974,Blues rock
1952,Early music
1952,Classical music
2013,Contemporary R&B
2013,K-pop
1975,Rock and roll
1975,Rockabilly
1973,New wave music
1973,Rock music
1973,Electronica
1973,Synthpop
1973,Post-punk
1977,Pop music
1977,Folk rock
1977,Soft rock
1966,A cappella
1961,Rock music
1961,Bluegrass music
1961,Country rock
1970,Heavy metal music
1970,Hard rock
1967,Pop music
1967,Rock music
1970,Heavy metal music
1970,Punk rock
1970,Hard rock
1947,Funk
1947,Psychedelic rock
1947,Rock music
1947,Rhythm and blues
1947,Alternative rock
1947,Blues rock
1947,Jazz
2007,German hip hop
1973,Rock music
1973,Alternative rock
1973,Post-punk
1965,Folk music
1965,Folk rock
1965,Folk baroque
1960,Folk music
1960,Rock music
1960,Baroque pop
1960,Broadway theatre
1920,Blues
1920,Vaudeville
1920,Classic female blues
2003,Pop music
2003,Electronica
2003,Indie rock
1981,Country music
1981,Pop music
1981,Soft rock
1998,Bubblegum pop
1998,Electronica
1998,Electropop
2003,Pop music
1942,Jazz standard
1962,Pop music
1962,Rhythm and blues
1962,Beat music
2003,Pop music
2003,Rock music
2003,Rhythm and blues
2003,Dance music
1957,Rhythm and blues
1957,Soul music
1860,Vaudeville
1920,Classic female blues
1920,Jazz
1912,Blues
1912,Twelve-bar blues
1928,Country blues
1928,Texas blues
1928,Classic female blues
1960,Samba
2014,Contemporary Christian music
2014,Contemporary worship music
1991,Folk music
1991,Trip hop
1991,Alternative rock
2005,Intelligent dance music
2005,Alternative rock
2005,Anti-folk
2005,Indie pop
2005,Baroque pop
1976,Country music
1976,Adult contemporary music
1993,Trip hop
1993,Folk rock
1993,Folktronica
2004,Pop music
2004,Soul music
2004,Contemporary R&B
2004,Urban contemporary gospel
2004,Jazz
1992,Alternative rock
1987,Alternative rock
1987,Pop rock
1986,Samba
1986,Música popular brasileira
1966,Música popular brasileira
1979,Pop music
1979,Rock music
1979,Folk rock
1970,Country music
1970,Old-time music
1979,Pop music
1989,Dance-pop
1989,Hip hop music
1948,Post-bop
1948,Jazz
1957,Pop music
1960,Funk
1960,Rhythm and blues
1960,Soul music
1960,Funk rock
1957,Country music
1957,Rhythm and blues
1957,Southern soul
2009,20th-century classical music
1963,Soul music
1963,Southern soul
1964,Gospel music
1961,Rhythm and blues
1961,Soul music
1959,Pop music
1959,Rhythm and blues
2010,Synthpop
2010,Power pop
2010,Nu-disco
2010,Electro house
2010,Electronic music
1956,Disco
1956,Rhythm and blues
1956,Soul music
1956,Gospel music
1962,Blues
1962,Country music
1962,Funk
1962,Rock music
1962,Rhythm and blues
1962,Soul music
1981,Synthpop
1981,Electronic music
1990,Pop music
1963,Ska
1994,Neo soul
1994,Contemporary R&B
1994,British soul
1996,Country music
1996,Pop music
1965,Folk music
1965,Folk rock
1960,Folk rock
1960,Avant-garde jazz
1991,Blues rock
1990,Blues
1990,Folk music
1990,Rock music
1999,Jazz_Pop
1998,Soul music
1972,Kajri
1972,Tarana
1972,Bandish
1972,Thumri
1972,Bhajan
1972,Khyal
1972,Dadra
1972,Jhoola_music
1972,Tappa
1987,Carnatic music
1995,Playback singer
2002,Folk rock
1941,Hindustani classical music
1996,Bhangra (music)
2012,Pop music
2012,Rock music
2012,Electronic music
2012,Filmi
1964,Playback singer
1900,Thumri
1900,Bhajan
1900,Khyal
1988,Pop music
2006,Pop music
2006,Rhythm and blues
2006,Neo soul
2006,Christmas music
2001,Pop music
2001,Rhythm and blues
2001,Hip hop music
2001,Dance music
2015,Pop music
2015,Soul
2000,Pop music
2000,Rhythm and blues
1985,Pop music
2005,Folktronica
1996,Folk rock
1996,Pop rock
1960,Disco
1960,Funk
1960,House music
1960,World music
1960,Synthpop
1960,J-pop
1960,Northern soul
1960,Hi-NRG
1960,Euro disco
1960,Post-disco
1960,Film score
1960,Indian pop
1960,Electronic dance music
1960,British soul
1994,Pop music
1994,Rock music
1994,Pop punk
1970,Heavy metal music
1970,Hard rock
2001,Pop music
2001,Crunk
2001,Hip hop music
2001,Electro house
2001,Dance music
1999,Punk rock
1999,Rap rock
1999,Hip hop music
1977,Hip hop music
1977,Old-school hip hop
1927,Folk music
1927,Chicago blues
1927,Country blues
1927,Spiritual (music)
1927,Protest song
1990,Blues
1990,Rhythm and blues
1990,Soul music
2011,Hip hop music
1991,Hip hop music
1987,Black metal
1987,Progressive metal
1990,Reggae
1990,Reggaeton
1990,Hip hop music
2004,Heavy metal music
2004,Southern rock
2004,Stoner rock
1986,East Coast hip hop
1986,Hardcore hip hop
2006,Australian hip hop
1970,Blues
1992,Gangsta rap
1992,Hip hop music
2002,West Coast hip hop
2002,Hardcore hip hop
1991,Gangsta rap
1991,Hip hop music
1994,Rhythm and blues
1994,Southern hip hop
1994,Chopped and screwed
1960,Delta blues
1960,Country blues
1960,Electric blues
1970,Blues
1970,Boogie-woogie
1980,Rhythm and blues
1980,Electric blues
1920,Rock and roll
1920,Swing music
1920,Jump blues
1940,Blues
2005,Hip hop music
1999,Country music
2001,Hip hop music
1991,Hip hop music
1990,Gangsta rap
1990,Horrorcore
1990,Hip hop music
1947,Rhythm and blues
1947,Texas blues
1936,Blues
1936,Rhythm and blues
1936,Gospel music
1991,Hip hop music
1991,Hip hop music
1995,Chopped and screwed
1995,Hip hop music
2006,British hip hop
2006,Grime music
1993,Hip hop music
1995,Hip hop music
1998,Hip hop music
1992,Hip hop music
1992,Hip hop music
1992,Spoken word
1993,Swing music
1993,Rockabilly
1993,Jump blues
1993,Jazz
1998,Gangsta rap
2007,Hip hop music
1994,Hip hop music
1985,East Coast hip hop
1999,Country rap
1990,Hip hop music
1970,Blues
1966,Country music
1966,Easy listening
1966,Music of Ireland
1920,Blues
1993,Hip hop music
1982,Reggae
1982,Rhythm and blues
1982,Compas
1982,Hip hop music
1999,Funk
1999,Neo soul
1999,Contemporary R&B
1999,Hip hop music
1999,Jazz
1998,Romani music
2009,Pop music
2009,Rock music
2006,Soul music
2006,Experimental music
1987,Alternative rock
1987,Shoegazing
1987,Dream pop
1983,Pop music
1983,Music of Serbia
1958,Country music
1958,Bluegrass music
1958,Nashville sound
2000,Neo-psychedelia
2000,Psychedelic pop
2000,Experimental music
1984,Western music (North America)
1970,Bossa nova
1970,Jazz
1975,Folk music
1990,Alternative country
1990,Lo-fi music
1990,Underground music
1933,Country music
1933,Comedy
1980,Rock and roll
1980,Power pop
1967,Blues
1967,Rhythm and blues
1967,Blues
1967,Country music
1967,Rock music
1952,Folk music
1952,Bluegrass music
1965,Pop music
1965,Alternative country
1984,Rock music
1984,Alternative country
1984,Cowpunk
1984,Roots rock
1984,Independent music
1994,Folk rock
1994,Pop rock
1963,Pop music
1963,Rock music
1963,Surf music
1992,Indie rock
1970,Blues
1970,Rock music
1970,Blues rock
1967,Progressive folk
1920,Blues
1950,Contemporary Christian music
1950,Christian music
1990,Rock music
1990,Experimental rock
1946,Country music
1946,Rock and roll
1946,Rockabilly
1966,Rock music
1980,Blues
2005,Emo
2005,Synthpop
2005,Alternative rock
2005,Power pop
2005,Pop rock
2005,Electronic rock
1932,Rock and roll
1932,Rhythm and blues
1932,Traditional pop music
1932,Doo-wop
1932,Gospel music
1932,Jazz
1932,Vocal music
1932,Easy listening
1978,Country music
1978,Soft rock
1984,Industrial music
1984,Electronic music
1984,Rock music
1984,Hard rock
1984,Pop rock
1995,Indie rock
1995,Folk rock
1995,Singer-songwriter
1959,Blue-eyed soul
1980,Pop music
1980,Rock music
1993,Gospel music
1970,New wave music
1970,Glam rock
1970,Art rock
1970,Ambient music
1970,Electronic rock
1970,Post-punk
1970,Experimental rock
1969,Blues
1969,Funk
1969,Rock and roll
1969,Southern rock
1969,Jazz fusion
1969,Swamp pop
1958,Country music
1992,Art rock
1992,Indie rock
1992,Alternative rock
1992,Shoegazing
1992,Pop punk
1992,Experimental rock
1987,Indie pop
1996,Folk music
1996,Indie rock
1996,Alternative rock
1996,Folk rock
1996,Minimal music
1960,Folk music
1985,Death metal
1985,Grindcore
1985,Blues rock
1985,Melodic death metal
1985,Stoner rock
1980,Folk music
1980,Punk rock
1918,Jazz
1918,Music of Hawaii
1989,Alternative rock
1963,Blues
1963,Funk
1963,Rhythm and blues
1963,Soul music
1963,Smooth soul
2014,Soul music
2014,Electronic music
2014,Jazz
2000,Soul music
2000,Synthpop
2000,Electropop
1933,Blues
1933,Rhythm and blues
1933,Swing music
1933,Twelve-bar blues
1933,Vocal jazz
1933,Torch song
1969,Folk music
1969,Pop music
1969,Rock music
1950,Country music
1986,Punk rock
1986,Alternative rock
1986,Pop punk
2014,Folk music
2014,Acoustic music
1929,Country music
1997,Pop rock
1988,House music
1988,Ambient music
1988,Soul music
1988,Electro (music)
1988,Vocal trance
1957,Country music
1957,Rockabilly
1965,Blues
1988,Heavy metal music
1988,Experimental rock
1972,Blues
1972,Jazz
1968,Funk
1968,Psychedelic rock
1968,Soul music
1968,Psychedelic soul
1948,Rhythm and blues
1952,Rhythm and blues
1952,Chicago blues
1977,Alternative rock
1977,Folk rock
1977,Alternative country
1977,Folk punk
1977,Indie folk
1977,Americana (music)
1964,Country music
1964,Rock and roll
1964,Rock music
1964,Rockabilly
1960,Country music
1960,Pop music
1960,Rock music
1960,Rockabilly
1977,Punk rock
1977,Indie rock
1977,Punk blues
1977,Garage punk
1985,Alternative rock
1970,Country music
1970,Rock music
1970,Southern rock
1986,Pop music
1986,Soul music
1986,Contemporary R&B
1986,Music of the Philippines
1996,Country music
1950,Pop music
1950,Rhythm and blues
1950,Soul music
1950,Sunshine pop
1989,Country music
1995,Hip hop music
1940,Jazz
1964,Country music
1964,Folk music
1970,Chicago blues
1970,Electric blues
1958,Pop music
1958,Rock and roll
1958,Rockabilly
1958,British rock and roll
1967,Hard rock
1967,Blues rock
1967,Boogie rock
1999,Country music
1979,Death metal
1979,Grindcore
1979,Hardcore punk
1979,Alternative rock
1979,Funk metal
1979,Alternative metal
1979,Noise rock
1979,Experimental rock
1979,Avant-garde music
1959,Country music
1987,Heavy metal music
1987,Nu metal
1987,Hardcore punk
1987,Crossover thrash
1971,Disco
1971,Pop music
1971,Rhythm and blues
1971,Soul music
1962,Blues
1962,Rhythm and blues
1962,Rockabilly
1962,Jazz
2005,Noise rock
2005,Garage punk
1965,Pop music
1965,Rock music
1965,Surf music
1965,Baroque pop
2000,Country music
1988,Industrial music
1988,Hard rock
1988,Alternative rock
1988,Alternative metal
1988,Experimental rock
1940,Western swing
1977,New wave music
1977,Punk rock
1977,Glam rock
1977,Hard rock
1977,Dance-rock
1977,Post-punk
1963,Pop music
1963,Beat music
1963,British rock and roll
1950,Country music
1950,Rock and roll
1973,Country music
1973,Outlaw country
1965,Pop music
1965,Rock music
1965,Soft rock
1965,Piano rock
1965,Classical music
2004,Rock music
1992,Rhythm and blues
1992,Soul music
1992,Hip hop soul
1976,New wave music
1976,Synthpop
1976,Alternative rock
1976,Dream pop
1976,Post-punk
1976,Art pop
1972,New wave music
1972,Punk rock
1972,Glam rock
1972,Soft rock
1981,Heavy metal music
1981,Thrash metal
1981,Crossover thrash
1987,Country music
1969,Pop music
1969,Rhythm and blues
1969,Soul music
1959,Country music
1959,Rhythm and blues
1959,Soul music
1959,Jazz
1998,Folk music
1998,Alternative rock
1972,Bolero
1972,Ranchera
1956,Funk
1956,Rock music
1956,Rhythm and blues
1956,Soul music
1956,Gospel music
1956,Blues
1956,Funk
1956,Rhythm and blues
1970,Heavy metal music
1970,Progressive rock
1970,Hard rock
1970,Instrumental rock
1970,Jazz fusion
1980,Progressive rock
2003,Folk music
2003,Acoustic music
1982,Christian rock
1982,Contemporary Christian music
1968,Rock music
1968,Hard rock
1955,Rhythm and blues
1955,Chicago soul
1955,Northern soul
1962,Country music
1962,Pop music
1962,Rock music
1962,Rhythm and blues
1947,Country music
1997,Punk rock
1997,World music
1997,Emo
1997,Screamo
1997,Dance music
2002,Political hip hop
2002,Alternative hip hop
2002,Underground hip hop
1940,Rhythm and blues
1940,Jump blues
1940,Soul blues
1993,Country music
1993,Americana (music)
1969,Pop music
1969,Gospel music
1969,Soukous
1936,Ryūkōka
1986,Blues
1986,Rock and roll
1986,World music
1986,Americana (music)
2013,Pop music
2014,Independent music
2014,Music of Nepal
1990,Pop music
1990,Rhythm and blues
1990,J-pop
1990,Jazz
2005,Freak folk
2005,Experimental music
1992,Hip hop music
2008,Folk music
2008,Indie rock
2008,Indie pop
2008,Indie folk
1995,Rock music
1999,Pop music
1999,Pop rock
2012,Hiplife
2004,Hip hop music
2010,Hip hop music
2010,New wave music
2010,Pop music
2010,Psychedelic pop
1992,Ragga
1992,Reggae
1992,Lovers rock
2000,Pop music
1973,Pop music
1973,Raï
1973,Pop rock
1981,Hip hop music
1981,Comedy hip hop
1981,Golden age hip hop
1981,Freestyle rap
1995,Horrorcore
1995,Hip hop music
2002,Pop-rap
2002,K-pop
2004,Christian hip hop
2004,Contemporary R&B
2004,Hip hop music
2000,Hip hop music
1991,Hip hop music
2011,Hip hop music
1970,Pop music
1970,Rock music
1970,Progg
1970,Singer-songwriter
1995,Heavy metal music
1963,Folk rock
1963,Europop
1963,Euro disco
1963,Schlager music
1963,Swedish folk music
1995,Indie rock
1995,Indie pop
1995,Neo-psychedelia
1975,Folk rock
1997,Black metal
1997,Symphonic black metal
2007,Pop music
2007,Hip hop music
1991,Hip hop music
2011,Hip hop music
1999,Southern hip hop
1981,Pop music
1920,Country blues
1920,Texas blues
2009,Contemporary R&B
2009,Hip hop music
1994,House music
1994,Deep house
1986,Alternative rock
2002,Rhythm and blues
2002,Hip hop music
2002,Soul music
2002,Midwest hip hop
2002,Hip hop music
2002,Electronic music
2002,Instrumental
2002,Music of Detroit
2001,Hip hop music
2000,Hip hop music
1998,Reggae
1998,Roots reggae
1987,British hip hop
1993,Hip hop music
1959,Calypso music
1987,Hip hop music
1997,Ragga
1997,Reggae
1997,Dancehall
1997,Hip hop music
2005,Hardcore punk
2005,Noise music
2005,Electronica
2005,Industrial music
2005,Hip hop music
2005,Experimental music
1975,Heavy metal music
1975,Hard rock
1975,Shock rock
2003,British hip hop
1993,Music of the Republic of Macedonia
1994,Psychedelic rock
1994,Indie rock
1994,Indie pop
1994,Post-punk revival
2004,Country music
1970,Rock music
2006,Hip hop music
1979,Funk
1979,Hip hop music
1979,Jazz
2005,Pop music
2005,Alternative rock
2005,Experimental rock
2005,Film score
1995,Black metal
1995,Psychedelic rock
1995,Experimental rock
1998,Pop music
1998,Soul music
1998,Electropop
1996,Indie rock
1996,Alternative rock
2012,Country music
2001,Death metal
2001,Progressive rock
2001,Progressive metal
2001,Thrash metal
2001,Metalcore
2001,Technical death metal
2001,Orchestra
2001,Soundtrack
2001,Video game music
2001,Classical music
1988,Punk rock
1988,Emo
1988,Indie rock
1988,Alternative rock
1987,Indie rock
1987,Folk rock
2001,Country music
2008,Country music
2003,Contemporary Christian music
1989,Rock music
1987,Hip hop music
2000,Baltimore club
2000,Electronic dance music
2000,Hip hop
1984,Heavy metal music
1984,Hard rock
1996,Horrorcore
1996,Hip hop music
1965,Folk music
1996,Pop music
1996,Rhythm and blues
1996,Electronic music
1996,Dance music
1984,Afrikaans
2001,Rhythm and blues
2001,Pop-rap
2001,Hip hop music
1999,Pop music
1999,Rock music
1999,Power pop
1999,Acoustic music
1999,Independent music
2000,Alternative hip hop
2000,Underground hip hop
1995,Hip hop music
1928,Country blues
1928,Piedmont blues
1928,East Coast blues
1933,Blues
1933,Boogie-woogie
1933,Jazz
1900,Blues
1900,Gospel blues
1970,Blues
1927,Ragtime
1927,Gospel music
1927,Delta blues
1927,Country blues
1927,Piedmont blues
1952,Rhythm and blues
1952,Soul music
1998,Hip hop music
2000,Hip hop music
2000,Hip_Life
1980,Industrial music
1980,Dark ambient
1980,Experimental rock
1980,Avant-garde music
1996,Electronic music
1996,Dance music
1968,Pop music
1968,Rock music
2000,Hip hop music
1952,Bebop
1952,Traditional pop music
1952,Swing music
1952,Cool jazz
1952,Vocal jazz
2014,Punk rock
2014,Thrash metal
2014,Shock rock
1963,Funk
1963,Punk rock
1963,Rhythm and blues
1963,Soul music
1963,Hip hop music
1963,Parody
1963,Comedy
1990,Funk
1990,Electronic music
1990,Jazz
1990,New school hip hop
2003,Hip hop music
2003,Alternative hip hop
2001,Soul music
2001,Contemporary R&B
2012,Hip hop music
2012,K-pop
2012,Electronic dance music
2012,Dance-pop
2012,Electronic music
1993,Soul music
1993,Hip hop music
2009,Folk music
1999,Hip hop music
1970,Electric blues
1970,Soul blues
1951,Blues
1951,Texas blues
1951,Jazz
2007,Folk music
2007,Acoustic music
2007,Mizrahi music
2005,Country rock
2005,Hard rock
2005,Southern rock
2008,Pop music
2008,Rock music
2008,Independent music
1931,Delta blues
1931,Country blues
1943,Blues
1943,Rock and roll
1943,Rhythm and blues
1943,Chicago blues
2008,Hardstyle
2008,Dubstep
2008,Moombahton
2008,Trap music
2008,Electronic dance music
2008,Dutch hip hop
1976,Blues
1976,Punk rock
1976,Rock music
1976,Glam rock
1976,Electronica
1976,Alternative country
1976,Post-punk
1930,Country music
1964,Blues
1964,Rock music
1964,Boogie-woogie
1958,Country music
1979,Contemporary Christian music
1994,Folk music
1994,Pop music
1994,Rock music
1994,Electronica
1994,Soundtrack
1985,Pop music
1985,Contemporary Christian music
1972,Heavy metal music
1972,Hard rock
1972,Blues rock
1967,Choir
1978,Country music
1978,Folk music
1978,Bluegrass music
1978,Red Dirt (music)
1931,Big band
1931,Swing music
1931,Dixieland
1983,Country music
1970,Experimental rock
1970,Experimental music
1955,Country music
1948,Traditional pop music
1948,Barbershop music
1948,Jazz
1969,Folk music
1960,Rhythm and blues
1960,Jazz
1947,Rhythm and blues
1947,East Coast blues
1958,Country music
1975,Pop music
1975,Rock music
1972,Rock music
1972,Contemporary Christian music
1987,Christian rock
1965,Blues
1965,Electric blues
1965,Blues rock
1965,Boogie rock
1974,Country music
1974,Folk music
1971,Rock music
1962,Jazz fusion
1962,Smooth jazz
1962,Jazz-funk
1962,Jazz
1962,Crossover jazz
1960,Electric blues
1960,Texas blues
1965,American folk music
1970,Folk music
1970,Progressive country
1970,Americana (music)
1956,Country music
1956,Rockabilly
1990,Blues
1990,Rock music
1990,Singer-songwriter
1973,Rock and roll
1973,Electric blues
1960,Psychedelic rock
1960,Rock music
1970,Rock music
1979,Punk rock
1979,Hardcore punk
1979,Alternative rock
1991,Emo
1991,Indie rock
1991,Alternative rock
1933,Country music
1933,Western music (North America)
1972,Country music
1954,Rhythm and blues
1954,Soul music
1954,Northern soul
1902,Novelty song
